deck_key,partidas_jogadas,vitorias,empates,jogadores_unicos,eventos,derrotas,win_rate,is_banned,ban_rule,deck_name_pt,deck_name_en,colecao,deck_url
Linhagem Vampírica,3,1,1,1,1,1,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Linhagem Vampírica,Vampiric Bloodline,Innistrad: Crimson Vow,https://moxfield.com/decks/HIWLDPN2Bkyz9vSAl8rDmQ
Mardu Surge,3,2,0,1,1,1,0.6666666666666666,False,"12+ jogos e 66,6%+ WR",Mardu Surge,Mardu Surge,Tarkir Dragonstorm,https://moxfield.com/decks/Ofx3_fKIg0eNc9wg_moKPw
Mishra's Burnished Banner,3,1,1,1,1,1,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Mishra's Burnished Banner,Mishra's Burnished Banner,The Brothers' War,https://moxfield.com/decks/cVYq14CAiU-CwDR0rmdQkw
Mortos-Vivos Desenfreados,3,1,1,1,1,1,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Mortos-Vivos Desenfreados,Undeade Unleashed,Innistrad: Midnight Hunt,https://moxfield.com/decks/3kHIg4HG_U29DRdIPiF7ww
The Fantastic Four,3,1,1,1,1,1,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",The Fantastic Four,The Fantastic Four,Marvel Super Heroes,https://moxfield.com/decks/BiUxXKiGdEypp8UbWSJ-pQ
Mediadores Engalanados,3,1,0,1,1,2,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Mediadores Engalanados,Bedecked Brokers,Streets of New Capenna,https://moxfield.com/decks/dUg9kVt-yUC-J4rRanRBbA
Renascer da Rebelião,3,3,0,1,1,0,1.0,False,"12+ jogos e 66,6%+ WR",Renascer da Rebelião,Rebellion Rising,Phyrexia: All Will Be One,https://moxfield.com/decks/sWWMCJk-MUGqcLSNyVnW5A
Revenant Recon,3,2,0,1,1,1,0.6666666666666666,False,"12+ jogos e 66,6%+ WR",Revenant Recon,Revenant Recon,Murders at Karlov Manor,https://moxfield.com/decks/gjSSgKyWEEWxZ-6n1azr3w
Tricky Terrain,3,2,1,1,1,0,0.6666666666666666,False,"12+ jogos e 66,6%+ WR",Tricky Terrain,Tricky Terrain,Modern Horizons 3,https://moxfield.com/decks/oZAUJUI4OESC2r8Yz9hhRw
Geração de Letalidade,2,0,0,1,1,2,0.0,False,"12+ jogos e 66,6%+ WR",Geração de Letalidade,Breed Lethality,Commander 2016,https://moxfield.com/decks/rnkRQ7yt1EKD4pSVBEQX7w
